,intitule,dateCreation,typeContrat,nombrePostes,lieuTravail.libelle,lieuTravail.latitude,lieuTravail.longitude,lieuTravail.codePostal,lieuTravail.commune,entreprise.nom,competences
0,Développeur informatique (F/H),2025-10-10 17:41:54.164000+00:00,CDI,1,  CHARTRES,48.443913,1.489028,28000.0,28085.0,EXPECTRA,
1,Développeur / Développeuse informatique (H/F),2025-10-10 10:13:22.815000+00:00,CDD,1,  MARSEILLE ,43.34553,5.379898,13014.0,13214.0,,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}, {""code"": ""300188"", ""libelle"": ""Rédiger un cahier des charges, des spécifications techniques"", ""exigence"": ""S""}, {""code"": ""300242"", ""libelle"": ""Déterminer des mesures correctives"", ""exigence"": ""S""}, {""code"": ""300366"", ""libelle"": ""Recueillir et analyser les besoins client"", ""exigence"": ""S""}]"
2,Développeur informatique (F/H),2025-10-09 19:32:29.978000+00:00,MIS,1,  RUEILMALMAISON,48.862542,2.1963,92500.0,92063.0,EXPECTRA,
3,Développeur informatique mobile androïd (H/F),2025-10-09 16:07:10.468000+00:00,CDI,1,  ESCHAU,48.485434,7.714546,67114.0,67131.0,ACELTIS,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""113317"", ""libelle"": ""Développer une application en lien avec une base de données"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
4,Développeur / Développeuse informatique (H/F),2025-10-08 14:49:07.935000+00:00,CDI,1,  PARIS ,48.858831,2.379253,75011.0,75111.0,I-INTERIM,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
5,Développeur informatique (F/H),2025-10-08 11:03:22.920000+00:00,MIS,1,  ORLANS,47.884842,1.908837,45000.0,45234.0,EXPECTRA,
6,Développeur(se) informatique (h/f),2025-10-07 15:35:36.864000+00:00,MIS,1,  HASPARREN,43.383628,-1.305585,64240.0,64256.0,IZIWORK,
7,Développeur informatique (F/H),2025-10-07 10:51:28.692000+00:00,CDI,1,  VITROLLES,43.426232,5.278694,13127.0,13117.0,EXPECTRA JBM,
8,Développeur / Développeuse informatique STRUTS (H/F),2025-10-06 16:16:38.132000+00:00,CDI,1,  LE BOUSCAT,44.865258,-0.599649,33110.0,33069.0,SERV'IT,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109870"", ""libelle"": ""Java"", ""exigence"": ""E""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
9,Développeur informatique (H/F),2025-10-03 14:13:13.367000+00:00,CDI,1,  LYON E ARRONDISSEMENT,45.786154,4.796312,69009.0,69389.0,MANPOWER FRANCE,
10,Développeur(euse) Informatique Industrielle (H/F),2025-10-03 11:59:12.840000+00:00,CDD,1,  BRIGNOLES,43.406493,6.06143,83170.0,83023.0,PROVENCALE SA,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
11,Développeur informatique (F/H),2025-10-02 12:21:38.904000+00:00,CDI,1,  MARSEILLE E ARRONDISSEMENT,43.331524,5.419155,13013.0,13213.0,EXPECTRA JBM,
12,Développeur / Développeuse informatique (H/F),2025-10-01 11:59:19.665000+00:00,CDI,1,  CHANTEPIE,48.088364,-1.620401,35135.0,35055.0,SYSTANCIA,"[{""libelle"": ""C++"", ""exigence"": ""E""}, {""libelle"": ""PYTHON"", ""exigence"": ""E""}]"
13,Lead Développeur Informatique (H/F),2025-09-30 10:35:14.836000+00:00,CDI,1,  TOULOUSE,43.602372,1.406624,31000.0,31555.0,LINK CONSULTING,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
14,Développeur / Développeuse informatique,2025-09-29 10:09:46.676000+00:00,CDI,1,  ST NAZAIRE,47.282637,-2.260091,44600.0,44184.0,FRANCE DEVELOPPEMENT MOBILITE,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
15,Développeur Informatique (H/F),2025-09-26 16:06:19.515000+00:00,CDI,1,  BRUGES,44.881489,-0.612742,33520.0,33075.0,SUNAPSIS,"[{""code"": ""300688"", ""libelle"": ""Application web"", ""exigence"": ""S""}, {""code"": ""109846"", ""libelle"": ""Concevoir une application web"", ""exigence"": ""S""}]"
16,Développeur(se) informatique Full Stack C# Javascript (H/F),2025-09-23 09:49:30.516000+00:00,CDI,1,  CHALON SUR SAONE,46.780685,4.853856,71100.0,71076.0,VERTECH',"[{""code"": ""113317"", ""libelle"": ""Développer une application en lien avec une base de données"", ""exigence"": ""E""}, {""code"": ""126535"", ""libelle"": ""Réaliser des études et développements informatiques"", ""exigence"": ""E""}, {""libelle"": ""JAVASCRIPT"", ""exigence"": ""S""}]"
